"","NearestGene_mgi_symbol","feature","Chr","Start","End","width","strand","peak","start_position","end_position","feature_strand","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest","peakNames"
"13","Arhgap27os3","ENSMUSG00000085887","chr11",103322909,103323130,222,"*","014",103344754,103350124,"+","upstream",-21845,21624,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X007542""; ""SolubleNeg_unqPks__SolubleNeg__X04593""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X007519"")"
"14","Gm5432","ENSMUSG00000097580","chr12",15993928,15994181,254,"*","015",15817004,15888155,"+","downstream",176924,105773,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X022725""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X022936""; ""SolubleNeg_unqPks__SolubleNeg__X13992"")"
"15","Mir5101","ENSMUSG00000092922","chr12",75905259,75905613,355,"*","016",75909104,75909185,"+","upstream",-3845,3491,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X15461""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X025376""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X025112"")"
"16","Jdp2","ENSMUSG00000034271","chr12",85576764,85577092,329,"*","017",85599106,85639878,"+","upstream",-22342,22014,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X026195""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X025926""; ""SolubleNeg_unqPks__SolubleNeg__X15951"")"
"17","Tcl1b2","ENSMUSG00000060863","chr12",105098800,105099242,443,"*","018",105146015,105155225,"+","upstream",-47215,46773,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X13253""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X021624""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X021464""; ""SolubleNeg_unqPks__SolubleNeg__X13254"")"
"18","Ighv1-71","ENSMUSG00000096577","chr12",115749690,115749872,183,"*","019",115742206,115742506,"-","upstream",-7184,7184,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X13813""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X022403""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X022566"")"
"19","Ptch1","ENSMUSG00000021466","chr13",63552590,63552826,237,"*","020",63511534,63565520,"-","inside",12930,12694,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X031261""; ""SolubleNeg_unqPks__SolubleNeg__X19096""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X031555"")"
"20","Map3k1","ENSMUSG00000021754","chr13",111777596,111779091,1496,"*","021",111746429,111808993,"-","inside",31397,29902,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X027432""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X027127""; ""SolubleNeg_unqPks__SolubleNeg__X16668""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X027433"")"
"21","Serp2","ENSMUSG00000052584","chr14",76579820,76580077,258,"*","022",76532815,76556687,"-","upstream",-23133,23133,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X038338""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X037854""; ""SolubleNeg_unqPks__SolubleNeg__X23121"")"
"22","Odf1","ENSMUSG00000061923","chr15",38176232,38176809,578,"*","023",38219204,38226735,"+","upstream",-42972,42395,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X040464""; ""SolubleNeg_unqPks__SolubleNeg__X24418""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X039908"")"
"23","Azin1","ENSMUSG00000037458","chr15",38452652,38452953,302,"*","024",38487431,38519266,"-","downstream",66614,34478,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X039949""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X040505""; ""SolubleNeg_unqPks__SolubleNeg__X24438"")"
"24","St3gal1","ENSMUSG00000013846","chr15",67452902,67453203,302,"*","025",67102876,67113992,"-","upstream",-338910,338910,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X25399""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X041729""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X042263"")"
"25","Trappc9","ENSMUSG00000047921","chr15",73004590,73004857,268,"*","026",72589622,73061204,"-","inside",56614,56347,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X042375""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X041823""; ""SolubleNeg_unqPks__SolubleNeg__X25456"")"
"26","Atf1","ENSMUSG00000023027","chr15",100149603,100149763,161,"*","027",100227820,100261244,"+","upstream",-78217,78057,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X23431""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X038344""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X038852"")"
"27","Soat2","ENSMUSG00000023045","chr15",102160538,102160915,378,"*","028",102150527,102163474,"+","inside",10011,2559,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X039145""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X038608""; ""SolubleNeg_unqPks__SolubleNeg__X23611"")"
"28","Hnrnpa1","ENSMUSG00000046434","chr15",103248228,103248612,385,"*","029",103240433,103244955,"+","downstream",7795,3273,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X039301""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X038764""; ""SolubleNeg_unqPks__SolubleNeg__X23712"")"
"29","Gm15555","ENSMUSG00000087214","chr16",75983737,75984125,389,"*","031",76000785,76009743,"+","upstream",-17048,16660,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X29472""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X048465""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X048999"")"
"30","Prss27","ENSMUSG00000050762","chr17",24037067,24037741,675,"*","032",24038145,24045954,"+","upstream",-1078,404,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X050796""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X050241""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X050242""; ""SolubleNeg_unqPks__SolubleNeg__X30568"")"
"31","Satb1","ENSMUSG00000023927","chr17",51714857,51715228,372,"*","034",51736188,51833290,"-","downstream",118433,20960,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X053257""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X053893""; ""SolubleNeg_unqPks__SolubleNeg__X32500"")"
"32","4930583I09Rik","ENSMUSG00000024088","chr17",64873896,64874143,248,"*","035",64832524,64836071,"-","upstream",-37825,37825,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X053968""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X054662""; ""SolubleNeg_unqPks__SolubleNeg__X32951"")"
"33","Srfbp1","ENSMUSG00000024528","chr18",52457803,52458002,200,"*","036",52465694,52490738,"+","upstream",-7891,7692,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X35035""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X057533""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X058237"")"
"34","Gm25150","ENSMUSG00000087746","chr18",65915836,65916170,335,"*","037",65907164,65907222,"-","upstream",-8614,8614,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X35616""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X058487""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X059214"")"
"35","Rin1","ENSMUSG00000024883","chr19",5056339,5056518,180,"*","038",5050809,5057071,"+","inside",5530,553,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X063987""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X063082""; ""SolubleNeg_unqPks__SolubleNeg__X38464"")"
"36","Flrt1","ENSMUSG00000047787","chr19",7115929,7116304,376,"*","039",7092015,7105729,"-","upstream",-10200,10200,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X064176""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X065079""; ""SolubleNeg_unqPks__SolubleNeg__X39124"")"
"37","Gldc","ENSMUSG00000024827","chr19",30174457,30175673,1217,"*","040",30098450,30175418,"-","overlapStart",961,255,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X062149""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X061272""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X062150""; ""SolubleNeg_unqPks__SolubleNeg__X37296"")"
"38","Mir5623","ENSMUSG00000093757","chr19",58113430,58113619,190,"*","042",58051168,58051236,"+","downstream",62262,62194,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X38865""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X063778""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X064694"")"
"39","Gm13391","ENSMUSG00000086109","chr2",6530898,6531176,279,"*","043",6472001,6478619,"+","downstream",58897,52279,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X072958""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X074057""; ""SolubleNeg_unqPks__SolubleNeg__X44600"")"
"40","Dreg1","ENSMUSG00000079603","chr2",9691621,9692226,606,"*","044",9591220,9597843,"-","upstream",-93778,93778,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X074584""; ""SolubleNeg_unqPks__SolubleNeg__X45584""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X075771""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X074585"")"
"41","Barhl1","ENSMUSG00000026805","chr2",28908348,28908740,393,"*","045",28907680,28916668,"-","inside",8320,668,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X070638""; ""SolubleNeg_unqPks__SolubleNeg__X43216""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X071664"")"
"42","Gm16534","ENSMUSG00000090157","chr2",32057336,32057643,308,"*","046",32050087,32064911,"-","inside",7575,7249,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X071152""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X072169""; ""SolubleNeg_unqPks__SolubleNeg__X43573"")"
"43","Dab2ip","ENSMUSG00000026883","chr2",35544125,35545079,955,"*","047",35558267,35730994,"+","upstream",-14142,13188,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X43907""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X071695""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X072715""; ""SolubleNeg_unqPks__SolubleNeg__X43908""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X072716"")"
"44","Snord67","ENSMUSG00000077221","chr2",91602414,91603003,590,"*","049",91596071,91596180,"+","downstream",6343,6234,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X45374""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X074237""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X075389"")"
"45","Bub1b","ENSMUSG00000040084","chr2",118606155,118606319,165,"*","050",118598212,118641591,"+","inside",7943,7943,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X39857""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X065366""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X066293"")"
"46","Nkx2-4","ENSMUSG00000054160","chr2",147050824,147051373,550,"*","051",147083317,147085445,"-","downstream",34621,31944,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X40984""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X067123""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X068096"")"
"47","Pabpc1l","ENSMUSG00000054582","chr2",164019059,164019888,830,"*","052",164025451,164050538,"+","upstream",-6392,5563,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X41801""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X069408""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X068369""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X069409"")"
"48","Tnfsf10","ENSMUSG00000039304","chr3",27258536,27258871,336,"*","053",27317029,27342427,"+","upstream",-58493,58158,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X077475""; ""SolubleNeg_unqPks__SolubleNeg__X47285""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X078624"")"
"49","Tnik","ENSMUSG00000027692","chr3",28211368,28211753,386,"*","054",28263215,28675858,"+","upstream",-51847,51462,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X078673""; ""SolubleNeg_unqPks__SolubleNeg__X47308""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X077524"")"
"50","Fgg","ENSMUSG00000033860","chr3",82995512,82995712,201,"*","055",83007860,83015053,"+","upstream",-12348,12148,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X080402""; ""SolubleNeg_unqPks__SolubleNeg__X48283""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X079255"")"
"51","Pklr","ENSMUSG00000041237","chr3",89147730,89148297,568,"*","056",89136143,89146784,"+","downstream",11587,946,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X081017""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X079874""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X081018""; ""SolubleNeg_unqPks__SolubleNeg__X48662""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X081019"")"
"52","Gm22581","ENSMUSG00000065669","chr3",96719088,96719343,256,"*","057",96724266,96724400,"-","downstream",5312,4923,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X49187""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X080715""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X081828"")"
"53","Enpep","ENSMUSG00000028024","chr3",129299971,129300170,200,"*","058",129269176,129332720,"-","inside",32749,30795,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X076019""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X077216""; ""SolubleNeg_unqPks__SolubleNeg__X46465"")"
"54","Gm24395","ENSMUSG00000088764","chr3",153863949,153864927,979,"*","059",153864808,153864931,"+","overlapStart",-859,4,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X078337""; ""SolubleNeg_unqPks__SolubleNeg__X47107""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X077189""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X078338"")"
"55","Bach2os","ENSMUSG00000086150","chr4",32550973,32551626,654,"*","060",32559681,32571708,"-","downstream",20735,8055,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X087027""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X085837""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X087028""; ""SolubleNeg_unqPks__SolubleNeg__X52555""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X085838"")"
"56","Gm12506","ENSMUSG00000085375","chr4",55776236,55776806,571,"*","061",55605150,55636901,"+","downstream",171086,139335,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X086962""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X088159""; ""SolubleNeg_unqPks__SolubleNeg__X53249"")"
"57","Frrs1l","ENSMUSG00000045589","chr4",56989947,56990449,503,"*","062",56957174,56990391,"-","overlapStart",444,58,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X53273""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X088199""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X086994"")"
"58","Pakap","ENSMUSG00000089945","chr4",57627908,57628159,252,"*","063",57568180,57896982,"+","inside",59728,59728,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X088243""; ""SolubleNeg_unqPks__SolubleNeg__X53292""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X087038"")"
"59","Hook1","ENSMUSG00000028572","chr4",95913130,95913416,287,"*","064",95967241,96025413,"+","upstream",-54111,53825,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X089526""; ""SolubleNeg_unqPks__SolubleNeg__X54016""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X088352"")"
"60","Gm12702","ENSMUSG00000085142","chr4",100028747,100028916,170,"*","065",100052521,100065984,"+","upstream",-23774,23605,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X49321""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X082059""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X080948"")"
"61","Gm25604","ENSMUSG00000088984","chr4",126879731,126880172,442,"*","066",126860981,126861112,"-","upstream",-18619,18619,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X083898""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X083899""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X082733""; ""SolubleNeg_unqPks__SolubleNeg__X50478"")"
"62","Snord85","ENSMUSG00000065196","chr4",130733956,130734081,126,"*","067",130749635,130749706,"+","upstream",-15679,15554,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X084251""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X083093""; ""SolubleNeg_unqPks__SolubleNeg__X50696"")"
"63","Aldh4a1","ENSMUSG00000028737","chr4",139630336,139630644,309,"*","069",139622867,139649690,"+","inside",7469,7469,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X085466""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X084279""; ""SolubleNeg_unqPks__SolubleNeg__X51495"")"
"64","Zfp978","ENSMUSG00000078497","chr4",147342996,147343372,377,"*","070",147361304,147391004,"+","upstream",-18308,17932,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X085840""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X084656""; ""SolubleNeg_unqPks__SolubleNeg__X51753"")"
"65","Spsb1","ENSMUSG00000039911","chr4",149931595,149932490,896,"*","071",149896284,149955043,"-","inside",23448,22553,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X084908""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X086092""; ""SolubleNeg_unqPks__SolubleNeg__X51926""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X086093"")"
"66","Gm16079","ENSMUSG00000085869","chr4",150690850,150691069,220,"*","072",150668249,150678792,"-","upstream",-12058,12058,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X085027""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X086225""; ""SolubleNeg_unqPks__SolubleNeg__X51988"")"
"67","Gm2420","ENSMUSG00000082305","chr5",32727390,32729262,1873,"*","074",32724353,32736194,"+","inside",3037,3037,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X57258""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X093551""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X094752"")"
"68","Smim14","ENSMUSG00000037822","chr5",65500720,65500906,187,"*","075",65446845,65537184,"-","inside",36464,36278,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X094897""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X096130""; ""SolubleNeg_unqPks__SolubleNeg__X58058"")"
"69","Rassf6","ENSMUSG00000029370","chr5",90601564,90601727,164,"*","076",90603077,90640487,"-","downstream",38923,1350,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X58559""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X096988""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X095720"")"
"70","Anxa3","ENSMUSG00000029484","chr5",96844589,96844792,204,"*","077",96793386,96845968,"+","inside",51203,1176,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X095967""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X097242""; ""SolubleNeg_unqPks__SolubleNeg__X58700"")"
"71","Gm6588","ENSMUSG00000072722","chr5",112431020,112431395,376,"*","078",112449427,112451738,"+","upstream",-18407,18032,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X090618""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X089436""; ""SolubleNeg_unqPks__SolubleNeg__X54667"")"
"72","Glt1d1","ENSMUSG00000049971","chr5",127631803,127632667,865,"*","079",127632263,127708754,"+","overlapStart",-460,404,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X55573""; ""SolubleNeg_unqPks__SolubleNeg__X55574""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X092056""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X090875""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X092057"")"
"73","Tmem270","ENSMUSG00000040576","chr5",134900962,134901456,495,"*","080",134901595,134906733,"-","downstream",5771,139,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X091138""; ""SolubleNeg_unqPks__SolubleNeg__X55741""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X092318"")"
"74","Rnps1-ps","ENSMUSG00000096403","chr6",8066300,8066464,165,"*","082",7981830,7983430,"-","upstream",-82870,82870,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X103010""; ""SolubleNeg_unqPks__SolubleNeg__X62182""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X101671"")"
"75","Gm16055","ENSMUSG00000089890","chr6",8318053,8318587,535,"*","083",8354057,8364136,"-","downstream",46083,35470,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X103140""; ""SolubleNeg_unqPks__SolubleNeg__X62270""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X101809"")"
"76","Gm5303","ENSMUSG00000083107","chr6",28351300,28351436,137,"*","084",28361915,28363165,"-","downstream",11865,10479,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X60641""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X100396""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X099135"")"
"77","2210408F21Rik","ENSMUSG00000087380","chr6",31286331,31286617,287,"*","085",31220352,31337404,"+","inside",65979,50787,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X60885""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X099518""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X100756"")"
"78","Rybp","ENSMUSG00000072872","chr6",100206804,100207407,604,"*","086",100228567,100287441,"-","downstream",80637,21160,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X096091""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X097363""; ""SolubleNeg_unqPks__SolubleNeg__X58781"")"
